gX,gZ,gY,aX,aZ,aY,p1,p2,p3
381.13,-209.85,-255.46,-0.66,1.10,-1.43,598,2030,574
429.49,-203.17,-249.02,0.27,1.20,-2.01,597,2046,575
462.99,-202.21,-270.38,-0.68,1.18,-1.65,596,2064,573
497.42,-211.44,-315.61,-0.07,0.89,-1.26,598,2107,576
497.42,-207.96,-307.81,-0.12,0.61,-1.31,595,2109,575
497.42,-201.12,-308.30,0.22,0.49,-1.16,599,2117,573
497.42,-191.61,-274.47,0.85,0.58,-1.25,598,2111,575
497.42,-182.30,-260.32,0.44,0.41,-1.12,597,2109,574
497.42,-131.05,-248.59,0.61,-0.02,-0.32,599,2111,573
497.42,-122.25,-154.90,2.15,-0.36,1.06,599,2112,575
497.42,-112.34,-143.37,0.88,-0.50,0.85,601,2112,575
497.42,-99.29,-138.48,1.47,-0.14,0.53,599,2110,573
497.42,-90.74,-117.80,1.79,-0.13,0.79,597,2112,574
497.42,-82.34,-57.14,2.15,0.25,1.12,595,2117,578
497.42,-36.76,-10.01,1.84,1.68,1.99,593,2133,582
479.71,-51.99,57.30,1.49,1.94,1.99,594,2154,592
408.84,-68.80,110.78,1.41,1.74,1.99,593,2187,601
360.29,-75.66,162.63,1.56,0.91,1.99,593,2180,602
313.23,-83.55,206.34,1.26,0.50,1.99,597,2199,605
275.94,-81.85,239.24,0.55,0.20,1.81,597,2221,608
213.48,-97.69,216.23,0.56,0.97,1.09,594,2229,636
187.36,-107.11,213.36,0.22,0.62,1.20,594,2233,608
163.78,-113.98,212.81,0.18,0.32,1.14,592,2235,606
144.46,-118.69,210.89,0.19,0.09,1.09,594,2236,605
130.03,-120.40,210.03,0.16,0.01,1.03,594,2235,607
125.23,-118.02,216.37,0.22,-0.09,0.69,592,2239,606
132.29,-66.43,165.41,-0.18,0.04,0.22,595,2237,607
136.41,-56.31,147.87,-0.28,0.01,0.17,597,2242,605
136.26,-46.83,145.77,-0.15,0.13,0.35,595,2240,592
136.73,-37.21,123.09,-0.56,-0.18,0.32,594,2243,607
143.62,-24.13,108.55,-0.42,-0.12,0.25,596,2242,609
147.48,-13.08,93.15,-0.51,-0.09,0.43,595,2242,607
148.30,32.99,30.46,-0.30,-0.19,0.77,595,2244,606
142.30,36.79,20.34,-0.28,-0.21,0.91,595,2247,608
134.12,39.20,10.14,-0.22,-0.21,0.95,599,2249,607
124.38,39.99,-0.44,-0.12,-0.20,0.97,596,2251,609
113.46,39.81,-7.94,0.02,-0.18,1.03,600,2250,606
101.80,38.31,-12.81,0.17,-0.14,1.07,598,2252,605
90.58,34.74,-12.96,0.32,-0.12,1.08,595,2251,605
30.73,3.32,10.68,0.57,-0.03,1.20,599,2253,604
15.68,-4.91,18.92,0.59,-0.01,1.26,597,2270,608
1.28,-12.72,28.83,0.61,-0.01,1.27,597,2256,607
-12.02,-19.69,35.48,0.52,-0.01,1.24,599,2255,607
-23.19,-25.38,41.52,0.50,-0.03,1.17,594,2253,606
-33.97,-29.98,44.34,0.38,-0.05,1.10,602,2249,607
-43.41,-33.41,45.50,0.36,-0.08,1.04,611,2251,607
-70.02,-36.98,43.76,0.05,0.07,0.77,599,2254,606
-71.12,-34.47,35.21,-0.08,0.06,0.74,601,2251,605
-71.18,-31.50,27.56,-0.08,0.05,0.70,601,2252,607
-69.30,-28.05,18.43,-0.17,0.04,0.66,599,2253,606
-65.90,-23.41,11.99,-0.14,0.09,0.60,602,2253,606
