gX,gZ,gY,aX,aZ,aY,p1,p2,p3
433.65,-3.65,-275.45,1.08,0.93,-0.07,925,1840,1840
429.94,-22.11,-266.01,1.21,0.74,0.44,928,1841,1844
426.06,-39.18,-252.21,1.39,0.83,0.34,927,1840,1851
419.71,-55.25,-260.24,1.08,0.67,0.44,925,1842,1855
409.34,-73.44,-261.65,1.41,0.63,0.57,925,1840,1858
396.79,-98.67,-254.79,1.66,0.60,0.51,923,1840,1861
326.11,-180.69,-205.75,1.54,0.38,0.85,925,1843,1870
304.28,-197.88,-197.25,1.62,0.36,0.88,923,1843,1877
282.12,-211.88,-189.68,1.43,0.27,0.96,923,1843,1870
257.18,-225.34,-186.21,1.42,0.23,1.07,927,1845,1871
233.76,-236.34,-177.66,1.31,0.24,1.06,925,1842,1872
127.70,-290.35,-187.34,0.86,0.17,1.06,923,1847,1872
108.15,-305.18,-197.92,0.81,0.09,0.91,925,1847,1872
90.92,-321.94,-206.47,0.76,0.06,0.89,925,1851,1872
72.32,-337.36,-211.14,0.84,0.07,0.83,924,1851,1874
52.40,-350.90,-208.93,0.85,0.00,0.79,925,1853,1872
31.80,-364.12,-203.62,0.83,-0.02,0.74,922,1853,1873
-50.78,-389.13,-270.26,-0.12,-0.28,0.65,924,1854,1872
-67.82,-387.57,-296.82,0.14,-0.37,0.59,924,1853,1874
-82.26,-381.73,-307.33,0.43,-0.43,0.68,924,1856,1873
-101.85,-372.43,-296.68,0.77,-0.38,0.75,927,1853,1873
-117.57,-363.62,-292.90,0.38,-0.73,0.71,928,1851,1873
-172.20,-287.21,-170.71,0.12,-0.25,0.88,944,1851,1874
-205.34,-272.89,-208.79,-0.24,-0.65,1.22,949,1856,1874
-219.47,-258.09,-209.04,0.49,-0.25,0.80,950,1854,1872
-272.32,-254.08,-213.68,0.23,-0.41,1.82,954,1853,1872
-285.68,-244.02,-204.35,0.52,-0.37,0.83,956,1856,1874
-388.27,-182.25,-204.79,0.06,-0.31,0.45,959,1855,1873
-374.93,-158.03,-201.20,0.92,-0.65,0.83,954,1853,1872
-407.57,-140.09,-162.17,0.49,-0.24,0.49,957,1853,1871
-418.29,-126.20,-144.97,0.19,-0.30,0.54,959,1853,1869
-444.46,-119.86,-138.93,0.03,-0.43,0.79,960,1851,1870
-493.05,-90.41,-63.94,0.27,-0.18,-0.02,957,1853,1870
-488.49,-79.71,-53.19,-0.06,-0.18,-0.13,957,1854,1870
-482.15,-67.36,-50.56,-0.29,-0.25,-0.26,960,1850,1870
-473.14,-54.93,-55.00,-0.42,-0.27,-0.35,954,1851,1870
-464.24,-43.73,-50.44,-0.33,-0.16,-0.35,951,1853,1870
-439.60,10.04,-34.17,-0.61,0.26,-0.37,958,1853,1867
-434.03,23.91,-28.82,-0.64,0.38,-0.37,957,1852,1869
-428.37,36.06,-33.68,-0.96,0.38,-0.44,951,1851,1870
-421.53,51.91,-41.17,-0.89,0.43,-0.53,956,1850,1871
-412.61,66.67,-41.77,-0.91,0.45,-0.62,958,1853,1867
-404.38,80.91,-34.26,-0.86,0.46,-0.80,955,1853,1870
-333.22,155.68,-39.72,-0.77,0.80,-1.07,957,1851,1871
-315.37,174.62,-31.77,-0.82,0.92,-1.16,955,1852,1869
-297.82,193.04,-34.46,-0.93,0.96,-1.13,954,1851,1870
-280.76,211.30,-36.94,-0.88,1.02,-1.09,960,1851,1869
-263.18,231.02,-35.74,-0.84,1.13,-1.07,966,1853,1867
-191.98,315.43,15.07,-0.63,1.58,-0.83,962,1853,1868
-172.67,349.19,14.23,-0.37,1.71,-1.16,961,1861,1869
-147.25,370.32,24.92,-0.26,1.56,-1.01,963,1894,1870
-124.53,396.59,37.44,-0.23,1.50,-1.18,963,1852,1869
-95.33,423.68,56.61,0.16,1.77,-1.33,965,1851,1869
-73.39,445.48,67.12,0.04,1.54,-1.17,953,1854,1871
47.50,500.53,163.30,0.96,1.18,-1.44,971,1850,1867
-31.22,13.48,-154.94,-0.55,0.68,0.62,951,1749,1346
-34.82,11.42,-164.78,-0.45,0.71,0.69,954,1746,1343
-38.26,9.85,-172.62,-0.50,0.69,0.69,951,1747,1344
-41.95,8.00,-188.96,-0.56,0.69,0.69,955,1751,1345
-46.92,4.72,-203.66,-0.48,0.71,0.70,953,1750,1341
-55.92,-2.25,-206.41,-0.36,0.63,0.78,953,1749,1342
-91.30,-22.05,-215.48,-0.02,0.63,0.86,956,1749,1339
-91.21,-20.93,-208.91,0.13,0.74,0.36,954,1749,1342
-88.75,-13.10,-218.24,-0.27,0.60,0.42,951,1755,1342
-86.64,-12.69,-223.45,-0.07,0.72,0.42,954,1759,1341
-75.05,-5.05,-228.46,-0.51,0.89,0.18,954,1757,1342
-77.05,-4.95,-254.88,-0.08,0.60,0.41,955,1757,1342
-89.48,-11.63,-359.49,0.29,0.78,0.52,954,1760,1340
-91.51,-8.95,-339.74,0.65,0.94,-0.04,956,1772,1344
-77.50,0.56,-288.33,0.32,1.44,0.87,955,1771,1341
-81.89,-1.94,-281.92,0.20,0.61,0.47,950,1770,1343
-74.23,3.42,-216.84,1.10,1.29,0.32,954,1769,1342
-55.76,8.81,-194.36,0.19,1.40,0.66,953,1765,1341
-120.15,-32.70,-291.63,-0.25,0.65,0.40,952,1770,1363
-118.64,-39.63,-293.08,0.22,0.83,0.47,953,1771,1377
-119.40,-37.10,-281.78,0.26,0.93,0.42,951,1771,1392
-121.28,-35.42,-278.91,0.21,0.80,0.49,951,1788,1395
-121.62,-34.64,-257.84,0.50,0.92,0.57,950,1768,1408
-118.21,-36.28,-238.26,0.46,1.10,0.53,954,1766,1419
-159.59,-34.87,-281.43,-0.10,0.58,0.90,954,1767,1493
-162.17,-27.88,-281.14,0.15,0.57,0.58,951,1771,1511
-161.08,-22.73,-273.63,0.18,0.76,0.50,950,1771,1522
-161.24,-16.66,-257.30,0.38,0.83,0.44,950,1768,1535
-158.47,-10.58,-239.78,0.32,0.97,0.40,951,1771,1565
-158.66,-24.76,-234.71,0.61,1.07,0.36,951,1761,1582
-158.58,-26.25,-212.65,0.42,0.93,0.42,950,1754,1582
-167.85,-20.15,-190.68,0.56,0.89,0.45,951,1749,1582
-183.76,-10.80,-178.32,0.30,0.48,0.69,954,1742,1582
-193.30,-7.74,-180.79,0.02,0.36,0.70,951,1734,1583
-200.37,-0.64,-165.26,0.37,0.64,0.61,950,1728,1581
-240.81,32.41,-116.93,0.14,0.65,0.62,954,1726,1581
-244.08,44.15,-109.91,0.38,0.84,0.38,955,1725,1581
-241.94,54.81,-95.48,0.23,0.78,0.31,957,1722,1583
-241.53,65.77,-85.40,0.32,0.82,0.25,965,1721,1581
-243.95,80.06,-53.95,0.73,0.88,0.24,955,1723,1580
-233.30,97.27,-43.31,0.08,1.02,-0.05,959,1721,1582
-213.25,156.87,37.16,0.13,1.06,0.02,969,1714,1583
-204.09,173.20,43.22,0.01,1.11,-0.11,972,1714,1582
-194.01,191.48,59.62,0.15,1.16,-0.15,977,1717,1582
-185.50,207.71,73.27,0.02,1.04,-0.10,981,1715,1584
-175.94,224.40,94.46,0.18,1.08,-0.15,988,1715,1584
-166.79,242.84,110.78,0.03,1.04,-0.16,993,1714,1581
-89.97,312.90,158.77,-0.13,1.21,-0.39,1008,1716,1582
-70.29,328.23,161.76,-0.22,1.12,-0.58,1012,1714,1581
-37.48,341.68,150.22,-0.61,1.23,-0.97,1014,1717,1582
-13.62,358.79,158.16,0.76,0.86,0.16,1018,1715,1580
-24.29,365.42,184.81,-0.53,1.30,-1.28,1022,1714,1579
-18.43,351.17,170.96,-0.72,1.17,0.19,1018,1712,1579
26.37,328.90,269.35,0.63,1.48,0.06,1029,1717,1584
32.50,326.29,297.64,0.59,1.58,-0.04,1020,1712,1587
29.83,321.08,314.02,0.40,1.39,0.22,1022,1709,1584
34.44,316.67,325.03,0.35,1.35,-0.08,1029,1716,1584
52.78,311.14,330.41,0.18,1.43,-0.22,1029,1714,1585
69.36,306.52,329.04,0.09,1.45,-0.22,1022,1713,1585
104.14,285.28,293.16,-0.21,1.47,-0.16,1035,1717,1589
107.89,282.95,279.09,-0.33,1.49,-0.15,1039,1717,1591
117.95,278.70,267.73,-0.28,1.62,-0.22,1033,1715,1591
126.86,272.87,253.68,-0.44,1.64,-0.17,1030,1716,1592
138.03,267.28,241.32,-0.41,1.72,-0.23,1029,1714,1589
165.53,250.93,136.92,-0.74,1.55,-0.29,1023,1713,1600
170.20,254.66,101.73,-0.88,1.60,-0.32,1022,1712,1603
187.65,252.15,78.19,-0.65,1.71,-0.51,1023,1687,1607
201.68,248.06,54.46,-0.52,1.81,-0.49,1021,1713,1618
214.17,242.98,25.65,-0.57,1.68,-0.46,1020,1712,1621
233.05,230.21,-10.18,-0.40,1.80,-0.39,1021,1712,1621
266.72,180.04,-75.48,0.51,1.62,-0.16,1019,1715,1663
272.29,170.32,-74.68,0.55,1.56,-0.19,1019,1714,1680
270.89,160.44,-97.11,0.18,1.33,-0.01,1023,1715,1682
273.82,157.31,-139.75,0.06,1.24,-0.15,1019,1714,1696
279.54,148.53,-175.80,-0.09,1.07,0.14,1022,1712,1712
312.53,85.82,-204.85,1.79,1.34,-0.05,1018,1715,1765
329.56,73.79,-149.54,1.85,1.54,-0.39,1023,1715,1776
335.39,58.59,-182.84,0.59,1.06,-0.06,1023,1713,1783
340.43,44.20,-193.30,1.10,1.36,0.01,1022,1717,1792
342.09,26.88,-195.13,1.26,1.11,0.15,1021,1714,1795
343.95,6.38,-187.71,1.28,1.16,0.21,1023,1713,1802
319.05,-60.38,-185.43,1.19,0.84,0.53,1022,1713,1826
306.72,-70.21,-195.33,1.25,0.75,0.05,1022,1719,1827
306.44,-78.67,-184.53,1.07,0.75,0.42,1031,1719,1831
296.81,-91.89,-182.76,1.27,0.83,0.49,1022,1721,1831
290.78,-104.18,-170.96,1.38,0.79,0.45,1022,1720,1833
229.08,-173.02,-160.42,1.14,0.55,0.75,1020,1721,1831
211.21,-188.73,-168.27,0.95,0.44,0.81,1019,1718,1833
195.28,-204.51,-173.14,0.95,0.42,0.79,1014,1719,1834
179.19,-217.94,-176.47,0.92,0.38,0.80,1038,1721,1833
163.70,-230.12,-178.46,0.89,0.32,0.79,1019,1722,1830
99.71,-270.58,-172.76,0.69,0.08,0.68,1028,1719,1835
86.38,-276.17,-178.04,0.66,0.11,0.66,1030,1719,1831
70.55,-278.87,-189.88,0.50,0.02,0.62,1021,1722,1834
