gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-228.40,20.87,80.93,0.24,0.10,1.07,519,1751,1255
-266.84,31.91,140.83,0.21,-0.05,0.46,522,1775,1265
-291.74,22.87,159.65,0.30,0.30,0.87,521,1776,1286
-297.21,24.87,150.67,-0.28,1.02,0.55,518,1790,1302
-313.71,18.66,85.22,-1.20,0.13,0.97,520,1803,1326
-350.66,10.96,148.86,-0.42,0.28,0.50,509,1812,1411
-360.95,13.14,137.83,-0.24,0.54,0.44,510,1809,1431
-373.02,16.12,118.57,-0.51,0.50,0.70,508,1810,1456
-391.50,14.99,100.63,-0.50,0.58,0.27,506,1808,1471
-403.80,12.37,89.80,-0.27,0.47,0.65,505,1810,1488
-415.16,7.25,96.23,0.07,0.56,0.52,500,1810,1506
-467.85,-36.55,51.70,-0.32,0.38,0.43,502,1808,1580
-469.77,-46.99,58.58,0.06,0.54,0.15,501,1808,1585
-471.54,-57.74,62.67,-0.04,0.37,-0.04,501,1810,1599
-472.79,-69.65,68.03,-0.00,0.49,0.03,500,1813,1609
-476.12,-82.43,69.79,0.02,0.47,-0.16,499,1815,1617
-473.71,-94.11,62.00,-0.19,0.46,-0.34,498,1810,1627
-388.41,-151.48,-17.62,-1.89,-0.09,-0.19,494,1817,1660
-386.29,-157.56,-40.99,-0.04,0.70,-1.37,495,1815,1664
-373.59,-169.74,-9.23,0.05,0.82,-1.12,494,1814,1669
-360.81,-180.35,-19.63,-0.65,0.79,-0.72,480,1814,1674
-335.28,-196.92,-54.09,-0.73,1.11,-1.05,473,1815,1680
-258.08,-259.82,-164.39,-0.84,1.10,-0.77,454,1819,1699
-241.66,-265.54,-189.07,-0.16,1.14,-1.33,446,1819,1707
-211.30,-272.80,-167.17,0.14,1.33,-1.40,438,1821,1715
-186.18,-278.31,-148.79,-0.27,1.29,-1.28,437,1819,1725
-162.85,-289.94,-183.11,-0.97,1.29,-1.09,437,1825,1732
-35.21,-322.34,-357.02,-0.91,1.31,-1.36,432,1851,1744
-14.00,-326.84,-372.30,-0.68,1.04,-0.89,432,1850,1740
14.44,-331.85,-354.88,0.02,1.22,-0.96,431,1852,1744
43.22,-339.41,-329.54,-0.01,1.64,-0.93,432,1851,1742
65.42,-349.07,-335.66,-0.37,1.32,-0.65,431,1853,1742
127.91,-361.48,-359.04,0.11,1.23,-0.40,430,1854,1742
141.28,-364.63,-351.65,0.53,1.34,-0.29,423,1852,1741
154.14,-369.74,-339.57,0.70,1.37,-0.39,427,1854,1743
168.08,-375.21,-324.42,0.71,1.34,-0.44,416,1849,1741
181.73,-379.62,-313.20,0.75,1.32,-0.54,412,1852,1744
229.37,-383.04,-264.07,0.75,1.23,-0.39,402,1852,1760
241.94,-383.31,-256.01,0.68,1.13,-0.39,402,1853,1765
253.88,-381.54,-249.71,0.64,1.26,-0.29,401,1854,1763
259.30,-377.41,-238.47,0.77,1.26,-0.25,401,1869,1767
262.66,-374.40,-218.26,0.85,1.26,-0.23,402,1855,1770
272.55,-346.51,-142.81,0.69,1.26,-0.15,400,1874,1778
269.56,-337.45,-133.23,0.68,1.27,-0.15,400,1879,1781
265.76,-323.92,-125.71,0.65,1.21,-0.21,400,1890,1783
258.11,-311.10,-95.30,0.91,1.35,-0.09,402,1904,1789
253.60,-299.60,-85.43,0.71,1.31,-0.17,401,1909,1794
254.72,-283.89,-58.79,1.12,1.39,-0.42,407,1921,1795
227.07,-204.93,25.21,0.82,1.53,-0.59,401,1979,1836
221.73,-183.38,49.79,0.55,1.52,-0.51,401,1993,1843
220.93,-165.34,54.63,0.41,1.42,-0.56,401,2001,1858
221.31,-145.73,67.10,0.44,1.57,-0.66,400,1995,1869
223.13,-126.86,79.97,0.37,1.60,-0.66,404,2019,1877
226.64,-109.67,98.86,0.40,1.60,-0.74,400,2026,1887
237.51,-43.86,184.28,-0.06,1.45,-0.65,401,2032,1920
243.82,-30.28,194.48,-0.09,1.40,-0.78,401,2032,1922
254.79,-14.43,207.54,-0.17,1.30,-0.88,401,2032,1923
267.28,2.50,211.36,-0.30,1.23,-0.80,401,2032,1929
273.05,15.48,218.38,-0.26,1.25,-0.66,401,2032,1931
276.95,83.17,220.74,-0.61,0.72,-0.08,402,2032,1942
280.31,97.37,235.24,-0.41,1.05,-0.50,400,2032,1947
288.37,112.78,235.79,-0.44,0.91,-0.45,402,2032,1947
290.70,131.25,225.56,-0.94,0.93,-0.35,400,2032,1951
290.28,147.17,218.87,-0.70,0.83,-0.30,400,2032,1958
290.73,159.94,217.77,-0.80,0.68,-0.13,401,2032,1963
276.09,232.49,216.45,-0.84,0.65,0.28,402,2032,1972
268.57,248.56,209.71,-0.92,0.57,0.40,400,2032,1970
258.23,268.73,203.76,-0.82,0.56,0.48,401,2033,1969
248.64,286.38,202.41,-0.80,0.49,0.54,401,2032,1970
236.05,303.30,205.45,-0.73,0.44,0.60,403,2032,1971
219.71,318.43,208.19,-0.65,0.33,0.65,402,2032,1973
142.99,357.88,267.04,-0.15,-0.01,0.65,400,2032,1983
128.60,357.66,300.80,0.65,0.22,0.65,401,2033,1982
