gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-6.93,11.11,-0.93,-0.15,0.91,0.62,1014,2156,1055
-11.25,14.57,-2.64,-0.12,0.90,0.55,1013,2153,1057
-18.16,19.58,-6.73,-0.16,0.87,0.55,1011,2155,1056
-24.05,23.57,-23.10,-0.48,0.67,0.60,1010,2159,1050
-21.61,25.73,-50.61,-0.50,0.85,0.49,1009,2155,1047
-15.07,26.36,-48.39,0.06,1.05,0.37,1008,2157,1040
-36.90,23.17,-94.55,-0.12,0.84,0.78,1007,2155,958
-49.45,21.69,-103.00,-0.22,0.67,0.87,1003,2155,941
-49.79,20.60,-108.00,0.12,0.98,0.58,1008,2155,912
-54.54,19.35,-100.82,0.01,0.96,0.80,1002,2154,882
-63.01,17.69,-124.76,-0.40,0.85,0.82,1003,2150,854
-65.10,14.89,-154.93,-0.52,0.90,0.76,998,2155,823
-151.48,13.86,-88.48,1.74,0.92,1.63,1008,2151,681
-151.13,24.47,-108.33,-0.83,1.03,0.19,1009,2151,653
-159.16,19.64,-165.68,-0.90,1.12,1.10,1009,2150,608
-191.15,15.78,-266.13,-1.29,-0.25,1.15,1011,2149,571
-224.95,22.92,-284.26,-0.22,0.89,1.34,1008,2133,531
-246.35,17.09,-241.84,0.73,0.80,1.38,1009,2111,501
-390.64,6.37,-195.49,-0.05,0.83,1.95,1013,1974,378
-453.97,-5.08,-207.22,0.36,0.13,1.99,1015,1947,368
-503.12,-24.19,-158.41,0.61,-0.01,1.99,1010,1915,365
-503.12,-24.48,-90.71,2.15,-0.67,-0.18,1011,1877,357
-503.12,-32.72,-17.20,-0.03,-0.31,0.52,1008,1851,353
-503.12,-38.59,0.94,0.36,-0.11,1.11,1010,1818,356
-503.12,-25.34,-161.11,-0.83,-1.32,1.29,1008,1744,339
-503.12,-18.07,-179.54,0.14,-1.47,0.78,1012,1750,341
-503.12,-11.56,-180.65,0.21,-1.51,0.52,1014,1753,337
-503.12,-2.76,-174.16,0.47,-1.40,-0.42,1039,1748,339
-503.12,4.60,-198.77,-0.39,-1.26,-0.39,1051,1751,337
-503.12,61.46,-238.65,-0.38,-0.70,-1.04,1103,1751,336
-503.12,83.70,-282.52,-0.23,-0.36,-2.01,1111,1754,336
-503.12,114.45,-248.39,1.24,0.22,-2.01,1113,1778,336
-503.12,118.62,-169.89,1.92,1.19,-2.01,1113,1806,337
-503.12,111.52,-103.19,1.63,1.22,-2.01,1111,1812,337
-214.58,100.34,72.13,0.49,1.89,-2.01,1113,1814,343
-152.08,99.57,78.16,0.49,1.49,-2.01,1108,1814,336
-102.48,102.74,85.45,0.41,1.17,-2.01,1111,1818,337
-60.08,104.42,91.26,0.37,0.95,-2.01,1114,1817,338
-23.51,104.31,89.71,0.19,0.93,-1.85,1115,1806,337
8.36,100.28,80.02,0.14,0.96,-1.65,1113,1815,337
83.22,47.79,8.52,0.39,1.33,-1.46,1117,1815,336
90.20,39.44,8.74,0.29,1.33,-1.21,1113,1819,336
91.26,29.73,7.76,0.26,1.38,-0.84,1110,1818,337
82.33,20.47,-2.48,-0.04,1.41,-0.60,1113,1818,337
64.38,6.51,-28.61,-0.24,1.29,-0.84,1113,1815,337
53.33,-3.23,-45.80,-0.13,1.06,-0.49,1113,1816,338
38.12,-11.05,-54.96,-0.05,1.02,-0.46,1113,1814,336
-7.68,-45.64,-104.59,0.18,1.15,-0.39,1111,1816,337
-13.50,-46.85,-98.70,0.57,1.25,-0.48,1109,1815,337
-17.80,-46.45,-89.72,0.75,1.31,-0.52,1112,1815,336
-19.21,-45.21,-86.35,0.73,1.35,-0.60,1111,1818,337
-15.97,-44.11,-77.13,0.92,1.42,-0.71,1113,1814,336
-9.83,-39.64,-63.08,1.00,1.43,-0.84,1111,1822,337
32.21,-12.98,3.03,0.79,1.29,-0.86,1111,1817,342
39.55,-8.07,16.02,0.87,1.26,-0.74,1114,1818,337
45.16,-4.54,30.22,0.86,1.30,-0.71,1110,1815,338
49.60,-0.30,37.19,0.61,1.18,-0.67,1109,1817,336
50.07,3.55,39.27,0.50,1.12,-0.57,1117,1816,336
50.67,7.21,42.71,0.46,1.06,-0.53,1115,1816,338
48.84,9.28,44.46,0.41,1.03,-0.44,1113,1815,336
38.81,14.19,46.68,0.19,0.95,-0.53,1111,1819,336
36.46,14.13,42.26,0.22,0.93,-0.50,1110,1817,322
35.07,13.73,40.87,0.26,0.92,-0.51,1111,1817,338
33.62,13.43,37.59,0.20,0.83,-0.52,1111,1815,338
32.55,13.89,30.43,0.11,0.79,-0.53,1113,1817,337
31.42,14.21,25.21,0.14,0.80,-0.52,1110,1818,336
29.91,13.64,22.02,0.15,0.82,-0.50,1109,1819,338
24.17,8.79,6.43,0.15,0.84,-0.47,1114,1814,337
22.88,7.75,2.40,0.14,0.82,-0.46,1111,1819,338
22.07,5.40,-0.13,0.20,0.83,-0.45,1110,1813,338
21.65,2.62,1.42,0.25,0.85,-0.44,1110,1814,336
21.74,0.30,4.08,0.28,0.86,-0.44,1113,1815,336
22.24,-1.49,6.63,0.28,0.85,-0.47,1109,1817,337
23.60,-3.08,6.87,0.24,0.86,-0.47,1109,1812,336
25.14,-4.13,7.70,0.24,0.86,-0.48,1110,1814,336
36.46,-4.08,8.35,0.21,0.81,-0.50,1111,1814,337
39.74,-4.37,9.85,0.23,0.80,-0.51,1108,1818,336
42.49,-4.33,10.94,0.21,0.79,-0.49,1110,1813,336
45.33,-4.45,10.86,0.19,0.77,-0.48,1108,1814,338
47.51,-4.51,10.87,0.19,0.77,-0.47,1109,1814,336
48.72,-4.50,10.63,0.21,0.77,-0.44,1110,1818,337
80.04,-14.19,1.01,0.16,0.91,0.34,1229,1953,1059
86.79,-13.76,1.90,0.15,0.95,0.25,1225,1966,1058
90.50,-13.85,2.46,0.16,0.92,0.40,1227,1970,1059
93.19,-13.69,4.80,0.20,0.91,0.37,1228,1988,1061
96.15,-11.93,12.08,0.30,0.92,0.39,1226,1996,1061
97.28,-11.23,17.82,0.30,0.91,0.47,1226,2017,1058
97.89,-12.01,23.12,0.33,1.01,0.44,1227,2030,1057
84.13,-20.05,48.52,0.16,0.87,0.70,1230,2107,1058
86.67,-20.16,52.90,0.28,1.00,0.50,1225,2125,1061
79.02,-20.21,55.42,0.27,0.98,0.79,1223,2144,1059
71.36,-20.19,42.32,-0.06,0.72,0.74,1227,2158,1058
72.24,-17.70,33.52,0.10,0.85,0.52,1226,2170,1062
70.27,-16.48,24.90,-0.01,0.86,0.64,1223,2192,1061
